ca.rmen.android.networkmonitor - Crashes by Android Version for 2017-03-15 - 2019-02-24
,,Metric,Crashes,Notes
,,Dimension,All Android versions
Period,Date
2017-03-15 - 2019-02-24,2017-03-15,,-
2017-03-15 - 2019-02-24,2017-03-16,,2
2017-03-15 - 2019-02-24,2017-03-17,,-
2017-03-15 - 2019-02-24,2017-03-18,,2
2017-03-15 - 2019-02-24,2017-03-19,,-
2017-03-15 - 2019-02-24,2017-03-20,,1
2017-03-15 - 2019-02-24,2017-03-21,,-
2017-03-15 - 2019-02-24,2017-03-22,,-
2017-03-15 - 2019-02-24,2017-03-23,,4
2017-03-15 - 2019-02-24,2017-03-24,,2
2017-03-15 - 2019-02-24,2017-03-25,,1
2017-03-15 - 2019-02-24,2017-03-26,,1
2017-03-15 - 2019-02-24,2017-03-27,,7
2017-03-15 - 2019-02-24,2017-03-28,,-
2017-03-15 - 2019-02-24,2017-03-29,,-
2017-03-15 - 2019-02-24,2017-03-30,,-
2017-03-15 - 2019-02-24,2017-03-31,,3
2017-03-15 - 2019-02-24,2017-04-01,,-
2017-03-15 - 2019-02-24,2017-04-02,,3
2017-03-15 - 2019-02-24,2017-04-03,,2
2017-03-15 - 2019-02-24,2017-04-04,,2
2017-03-15 - 2019-02-24,2017-04-05,,2
2017-03-15 - 2019-02-24,2017-04-06,,-
2017-03-15 - 2019-02-24,2017-04-07,,-
2017-03-15 - 2019-02-24,2017-04-08,,-
2017-03-15 - 2019-02-24,2017-04-09,,2
2017-03-15 - 2019-02-24,2017-04-10,,1
2017-03-15 - 2019-02-24,2017-04-11,,-
2017-03-15 - 2019-02-24,2017-04-12,,2
2017-03-15 - 2019-02-24,2017-04-13,,3
2017-03-15 - 2019-02-24,2017-04-14,,6
2017-03-15 - 2019-02-24,2017-04-15,,-
2017-03-15 - 2019-02-24,2017-04-16,,1
2017-03-15 - 2019-02-24,2017-04-17,,-
2017-03-15 - 2019-02-24,2017-04-18,,2
2017-03-15 - 2019-02-24,2017-04-19,,1
2017-03-15 - 2019-02-24,2017-04-20,,4
2017-03-15 - 2019-02-24,2017-04-21,,-
2017-03-15 - 2019-02-24,2017-04-22,,-
2017-03-15 - 2019-02-24,2017-04-23,,2
2017-03-15 - 2019-02-24,2017-04-24,,8
2017-03-15 - 2019-02-24,2017-04-25,,1
2017-03-15 - 2019-02-24,2017-04-26,,3
2017-03-15 - 2019-02-24,2017-04-27,,-
2017-03-15 - 2019-02-24,2017-04-28,,1
2017-03-15 - 2019-02-24,2017-04-29,,2
2017-03-15 - 2019-02-24,2017-04-30,,-
2017-03-15 - 2019-02-24,2017-05-01,,1
2017-03-15 - 2019-02-24,2017-05-02,,-
2017-03-15 - 2019-02-24,2017-05-03,,1
2017-03-15 - 2019-02-24,2017-05-04,,-
2017-03-15 - 2019-02-24,2017-05-05,,4
2017-03-15 - 2019-02-24,2017-05-06,,-
2017-03-15 - 2019-02-24,2017-05-07,,-
2017-03-15 - 2019-02-24,2017-05-08,,1
2017-03-15 - 2019-02-24,2017-05-09,,-
2017-03-15 - 2019-02-24,2017-05-10,,1
2017-03-15 - 2019-02-24,2017-05-11,,1
2017-03-15 - 2019-02-24,2017-05-12,,-
2017-03-15 - 2019-02-24,2017-05-13,,6
2017-03-15 - 2019-02-24,2017-05-14,,2
2017-03-15 - 2019-02-24,2017-05-15,,2
2017-03-15 - 2019-02-24,2017-05-16,,1
2017-03-15 - 2019-02-24,2017-05-17,,3
2017-03-15 - 2019-02-24,2017-05-18,,1
2017-03-15 - 2019-02-24,2017-05-19,,3
2017-03-15 - 2019-02-24,2017-05-20,,-
2017-03-15 - 2019-02-24,2017-05-21,,9
2017-03-15 - 2019-02-24,2017-05-22,,2
2017-03-15 - 2019-02-24,2017-05-23,,-
2017-03-15 - 2019-02-24,2017-05-24,,1
2017-03-15 - 2019-02-24,2017-05-25,,1
2017-03-15 - 2019-02-24,2017-05-26,,-
2017-03-15 - 2019-02-24,2017-05-27,,-
2017-03-15 - 2019-02-24,2017-05-28,,2
2017-03-15 - 2019-02-24,2017-05-29,,1
2017-03-15 - 2019-02-24,2017-05-30,,1
2017-03-15 - 2019-02-24,2017-05-31,,3
2017-03-15 - 2019-02-24,2017-06-01,,4
2017-03-15 - 2019-02-24,2017-06-02,,5
2017-03-15 - 2019-02-24,2017-06-03,,8
2017-03-15 - 2019-02-24,2017-06-04,,-
2017-03-15 - 2019-02-24,2017-06-05,,1
2017-03-15 - 2019-02-24,2017-06-06,,4
2017-03-15 - 2019-02-24,2017-06-07,,2
2017-03-15 - 2019-02-24,2017-06-08,,2
2017-03-15 - 2019-02-24,2017-06-09,,-
2017-03-15 - 2019-02-24,2017-06-10,,3
2017-03-15 - 2019-02-24,2017-06-11,,-
2017-03-15 - 2019-02-24,2017-06-12,,-
2017-03-15 - 2019-02-24,2017-06-13,,3
2017-03-15 - 2019-02-24,2017-06-14,,1
2017-03-15 - 2019-02-24,2017-06-15,,-
2017-03-15 - 2019-02-24,2017-06-16,,1
2017-03-15 - 2019-02-24,2017-06-17,,7
2017-03-15 - 2019-02-24,2017-06-18,,7
2017-03-15 - 2019-02-24,2017-06-19,,2
2017-03-15 - 2019-02-24,2017-06-20,,2
2017-03-15 - 2019-02-24,2017-06-21,,1
2017-03-15 - 2019-02-24,2017-06-22,,3
2017-03-15 - 2019-02-24,2017-06-23,,-
2017-03-15 - 2019-02-24,2017-06-24,,1
2017-03-15 - 2019-02-24,2017-06-25,,1
2017-03-15 - 2019-02-24,2017-06-26,,3
2017-03-15 - 2019-02-24,2017-06-27,,1
2017-03-15 - 2019-02-24,2017-06-28,,-
2017-03-15 - 2019-02-24,2017-06-29,,1
2017-03-15 - 2019-02-24,2017-06-30,,1
2017-03-15 - 2019-02-24,2017-07-01,,1
2017-03-15 - 2019-02-24,2017-07-02,,1
2017-03-15 - 2019-02-24,2017-07-03,,-
2017-03-15 - 2019-02-24,2017-07-04,,4
2017-03-15 - 2019-02-24,2017-07-05,,5
2017-03-15 - 2019-02-24,2017-07-06,,2
2017-03-15 - 2019-02-24,2017-07-07,,4
2017-03-15 - 2019-02-24,2017-07-08,,1
2017-03-15 - 2019-02-24,2017-07-09,,-
2017-03-15 - 2019-02-24,2017-07-10,,1
2017-03-15 - 2019-02-24,2017-07-11,,-
2017-03-15 - 2019-02-24,2017-07-12,,4
2017-03-15 - 2019-02-24,2017-07-13,,6
2017-03-15 - 2019-02-24,2017-07-14,,-
2017-03-15 - 2019-02-24,2017-07-15,,-
2017-03-15 - 2019-02-24,2017-07-16,,3
2017-03-15 - 2019-02-24,2017-07-17,,2
2017-03-15 - 2019-02-24,2017-07-18,,2
2017-03-15 - 2019-02-24,2017-07-19,,1
2017-03-15 - 2019-02-24,2017-07-20,,1
2017-03-15 - 2019-02-24,2017-07-21,,2
2017-03-15 - 2019-02-24,2017-07-22,,2
2017-03-15 - 2019-02-24,2017-07-23,,3
2017-03-15 - 2019-02-24,2017-07-24,,3
2017-03-15 - 2019-02-24,2017-07-25,,3
2017-03-15 - 2019-02-24,2017-07-26,,2
2017-03-15 - 2019-02-24,2017-07-27,,-
2017-03-15 - 2019-02-24,2017-07-28,,-
2017-03-15 - 2019-02-24,2017-07-29,,2
2017-03-15 - 2019-02-24,2017-07-30,,-
2017-03-15 - 2019-02-24,2017-07-31,,1
2017-03-15 - 2019-02-24,2017-08-01,,7
2017-03-15 - 2019-02-24,2017-08-02,,15
2017-03-15 - 2019-02-24,2017-08-03,,6
2017-03-15 - 2019-02-24,2017-08-04,,18
2017-03-15 - 2019-02-24,2017-08-05,,3
2017-03-15 - 2019-02-24,2017-08-06,,4
2017-03-15 - 2019-02-24,2017-08-07,,5
2017-03-15 - 2019-02-24,2017-08-08,,3
2017-03-15 - 2019-02-24,2017-08-09,,5
2017-03-15 - 2019-02-24,2017-08-10,,1
2017-03-15 - 2019-02-24,2017-08-11,,30
2017-03-15 - 2019-02-24,2017-08-12,,39
2017-03-15 - 2019-02-24,2017-08-13,,45
2017-03-15 - 2019-02-24,2017-08-14,,40
2017-03-15 - 2019-02-24,2017-08-15,,31
2017-03-15 - 2019-02-24,2017-08-16,,27
2017-03-15 - 2019-02-24,2017-08-17,,10
2017-03-15 - 2019-02-24,2017-08-18,,10
2017-03-15 - 2019-02-24,2017-08-19,,17
2017-03-15 - 2019-02-24,2017-08-20,,12
2017-03-15 - 2019-02-24,2017-08-21,,5
2017-03-15 - 2019-02-24,2017-08-22,,-
2017-03-15 - 2019-02-24,2017-08-23,,8,Rollout of release - Started rollout of 1.29.2 at 50%
2017-03-15 - 2019-02-24,2017-08-24,,2
2017-03-15 - 2019-02-24,2017-08-25,,-
2017-03-15 - 2019-02-24,2017-08-26,,1
2017-03-15 - 2019-02-24,2017-08-27,,3,Rollout of release - Increased rollout of 1.29.2 to 100%
2017-03-15 - 2019-02-24,2017-08-28,,-
2017-03-15 - 2019-02-24,2017-08-29,,4
2017-03-15 - 2019-02-24,2017-08-30,,-
2017-03-15 - 2019-02-24,2017-08-31,,1
2017-03-15 - 2019-02-24,2017-09-01,,2
2017-03-15 - 2019-02-24,2017-09-02,,-
2017-03-15 - 2019-02-24,2017-09-03,,2
2017-03-15 - 2019-02-24,2017-09-04,,2
2017-03-15 - 2019-02-24,2017-09-05,,2
2017-03-15 - 2019-02-24,2017-09-06,,3
2017-03-15 - 2019-02-24,2017-09-07,,-
2017-03-15 - 2019-02-24,2017-09-08,,-
2017-03-15 - 2019-02-24,2017-09-09,,-
2017-03-15 - 2019-02-24,2017-09-10,,1
2017-03-15 - 2019-02-24,2017-09-11,,2
2017-03-15 - 2019-02-24,2017-09-12,,1
2017-03-15 - 2019-02-24,2017-09-13,,2
2017-03-15 - 2019-02-24,2017-09-14,,-
2017-03-15 - 2019-02-24,2017-09-15,,8
2017-03-15 - 2019-02-24,2017-09-16,,-
2017-03-15 - 2019-02-24,2017-09-17,,-
