ca.rmen.android.networkmonitor - Cumulative average rating by Android Version for 2013-05-26 - 2019-02-24
,,Metric,Cumulative average rating,Notes
,,Dimension,All Android versions
Period,Date
2013-05-26 - 2019-02-24,2013-05-26,,-
2013-05-26 - 2019-02-24,2013-05-27,,5.00
2013-05-26 - 2019-02-24,2013-05-28,,5.00
2013-05-26 - 2019-02-24,2013-05-29,,5.00
2013-05-26 - 2019-02-24,2013-05-30,,5.00
2013-05-26 - 2019-02-24,2013-05-31,,5.00
2013-05-26 - 2019-02-24,2013-06-01,,5.00
2013-05-26 - 2019-02-24,2013-06-02,,5.00
2013-05-26 - 2019-02-24,2013-06-03,,5.00
2013-05-26 - 2019-02-24,2013-06-04,,5.00
2013-05-26 - 2019-02-24,2013-06-05,,5.00
2013-05-26 - 2019-02-24,2013-06-06,,5.00
2013-05-26 - 2019-02-24,2013-06-07,,5.00
2013-05-26 - 2019-02-24,2013-06-08,,5.00
2013-05-26 - 2019-02-24,2013-06-09,,5.00
2013-05-26 - 2019-02-24,2013-06-10,,5.00
2013-05-26 - 2019-02-24,2013-06-11,,5.00
2013-05-26 - 2019-02-24,2013-06-12,,5.00
2013-05-26 - 2019-02-24,2013-06-13,,5.00
2013-05-26 - 2019-02-24,2013-06-14,,5.00
2013-05-26 - 2019-02-24,2013-06-15,,5.00
2013-05-26 - 2019-02-24,2013-06-16,,5.00
2013-05-26 - 2019-02-24,2013-06-17,,5.00
2013-05-26 - 2019-02-24,2013-06-18,,5.00
2013-05-26 - 2019-02-24,2013-06-19,,5.00
2013-05-26 - 2019-02-24,2013-06-20,,5.00
2013-05-26 - 2019-02-24,2013-06-21,,5.00
2013-05-26 - 2019-02-24,2013-06-22,,5.00
2013-05-26 - 2019-02-24,2013-06-23,,5.00
2013-05-26 - 2019-02-24,2013-06-24,,5.00
2013-05-26 - 2019-02-24,2013-06-25,,5.00
2013-05-26 - 2019-02-24,2013-06-26,,5.00
2013-05-26 - 2019-02-24,2013-06-27,,5.00
2013-05-26 - 2019-02-24,2013-06-28,,5.00
2013-05-26 - 2019-02-24,2013-06-29,,5.00
2013-05-26 - 2019-02-24,2013-06-30,,5.00
2013-05-26 - 2019-02-24,2013-07-01,,5.00
2013-05-26 - 2019-02-24,2013-07-02,,5.00
2013-05-26 - 2019-02-24,2013-07-03,,5.00
2013-05-26 - 2019-02-24,2013-07-04,,5.00
2013-05-26 - 2019-02-24,2013-07-05,,5.00
2013-05-26 - 2019-02-24,2013-07-06,,5.00
2013-05-26 - 2019-02-24,2013-07-07,,5.00
2013-05-26 - 2019-02-24,2013-07-08,,5.00
2013-05-26 - 2019-02-24,2013-07-09,,5.00
2013-05-26 - 2019-02-24,2013-07-10,,5.00
2013-05-26 - 2019-02-24,2013-07-11,,5.00
2013-05-26 - 2019-02-24,2013-07-12,,5.00
2013-05-26 - 2019-02-24,2013-07-13,,5.00
2013-05-26 - 2019-02-24,2013-07-14,,5.00
2013-05-26 - 2019-02-24,2013-07-15,,5.00
2013-05-26 - 2019-02-24,2013-07-16,,5.00
2013-05-26 - 2019-02-24,2013-07-17,,5.00
2013-05-26 - 2019-02-24,2013-07-18,,5.00
2013-05-26 - 2019-02-24,2013-07-19,,5.00
2013-05-26 - 2019-02-24,2013-07-20,,5.00
2013-05-26 - 2019-02-24,2013-07-21,,5.00
2013-05-26 - 2019-02-24,2013-07-22,,5.00
2013-05-26 - 2019-02-24,2013-07-23,,5.00
2013-05-26 - 2019-02-24,2013-07-24,,5.00
2013-05-26 - 2019-02-24,2013-07-25,,5.00
2013-05-26 - 2019-02-24,2013-07-26,,5.00
2013-05-26 - 2019-02-24,2013-07-27,,5.00
2013-05-26 - 2019-02-24,2013-07-28,,5.00
2013-05-26 - 2019-02-24,2013-07-29,,5.00
2013-05-26 - 2019-02-24,2013-07-30,,5.00
2013-05-26 - 2019-02-24,2013-07-31,,5.00
2013-05-26 - 2019-02-24,2013-08-01,,5.00
2013-05-26 - 2019-02-24,2013-08-02,,5.00
2013-05-26 - 2019-02-24,2013-08-03,,5.00
2013-05-26 - 2019-02-24,2013-08-04,,5.00
2013-05-26 - 2019-02-24,2013-08-05,,5.00
2013-05-26 - 2019-02-24,2013-08-06,,5.00
2013-05-26 - 2019-02-24,2013-08-07,,5.00
2013-05-26 - 2019-02-24,2013-08-08,,5.00
2013-05-26 - 2019-02-24,2013-08-09,,5.00
2013-05-26 - 2019-02-24,2013-08-10,,5.00
2013-05-26 - 2019-02-24,2013-08-11,,5.00
2013-05-26 - 2019-02-24,2013-08-12,,5.00
2013-05-26 - 2019-02-24,2013-08-13,,5.00
2013-05-26 - 2019-02-24,2013-08-14,,5.00
2013-05-26 - 2019-02-24,2013-08-15,,5.00
2013-05-26 - 2019-02-24,2013-08-16,,5.00
2013-05-26 - 2019-02-24,2013-08-17,,5.00
2013-05-26 - 2019-02-24,2013-08-18,,5.00
2013-05-26 - 2019-02-24,2013-08-19,,5.00
2013-05-26 - 2019-02-24,2013-08-20,,5.00
2013-05-26 - 2019-02-24,2013-08-21,,5.00
2013-05-26 - 2019-02-24,2013-08-22,,5.00
2013-05-26 - 2019-02-24,2013-08-23,,5.00
2013-05-26 - 2019-02-24,2013-08-24,,5.00
2013-05-26 - 2019-02-24,2013-08-25,,5.00
2013-05-26 - 2019-02-24,2013-08-26,,5.00
2013-05-26 - 2019-02-24,2013-08-27,,5.00
2013-05-26 - 2019-02-24,2013-08-28,,5.00
2013-05-26 - 2019-02-24,2013-08-29,,5.00
2013-05-26 - 2019-02-24,2013-08-30,,5.00
2013-05-26 - 2019-02-24,2013-08-31,,5.00
2013-05-26 - 2019-02-24,2013-09-01,,5.00
2013-05-26 - 2019-02-24,2013-09-02,,5.00
2013-05-26 - 2019-02-24,2013-09-03,,5.00
2013-05-26 - 2019-02-24,2013-09-04,,5.00
2013-05-26 - 2019-02-24,2013-09-05,,5.00
2013-05-26 - 2019-02-24,2013-09-06,,5.00
2013-05-26 - 2019-02-24,2013-09-07,,5.00
2013-05-26 - 2019-02-24,2013-09-08,,5.00
2013-05-26 - 2019-02-24,2013-09-09,,5.00
2013-05-26 - 2019-02-24,2013-09-10,,5.00
2013-05-26 - 2019-02-24,2013-09-11,,5.00
2013-05-26 - 2019-02-24,2013-09-12,,5.00
2013-05-26 - 2019-02-24,2013-09-13,,5.00
2013-05-26 - 2019-02-24,2013-09-14,,5.00
2013-05-26 - 2019-02-24,2013-09-15,,5.00
2013-05-26 - 2019-02-24,2013-09-16,,5.00
2013-05-26 - 2019-02-24,2013-09-17,,5.00
2013-05-26 - 2019-02-24,2013-09-18,,5.00
2013-05-26 - 2019-02-24,2013-09-19,,5.00
2013-05-26 - 2019-02-24,2013-09-20,,5.00
2013-05-26 - 2019-02-24,2013-09-21,,5.00
2013-05-26 - 2019-02-24,2013-09-22,,5.00
2013-05-26 - 2019-02-24,2013-09-23,,5.00
2013-05-26 - 2019-02-24,2013-09-24,,5.00
2013-05-26 - 2019-02-24,2013-09-25,,5.00
2013-05-26 - 2019-02-24,2013-09-26,,5.00
2013-05-26 - 2019-02-24,2013-09-27,,5.00
2013-05-26 - 2019-02-24,2013-09-28,,5.00
2013-05-26 - 2019-02-24,2013-09-29,,5.00
2013-05-26 - 2019-02-24,2013-09-30,,5.00
2013-05-26 - 2019-02-24,2013-10-01,,5.00
2013-05-26 - 2019-02-24,2013-10-02,,5.00
2013-05-26 - 2019-02-24,2013-10-03,,5.00
2013-05-26 - 2019-02-24,2013-10-04,,5.00
2013-05-26 - 2019-02-24,2013-10-05,,5.00
2013-05-26 - 2019-02-24,2013-10-06,,5.00
2013-05-26 - 2019-02-24,2013-10-07,,5.00
2013-05-26 - 2019-02-24,2013-10-08,,5.00
2013-05-26 - 2019-02-24,2013-10-09,,5.00
2013-05-26 - 2019-02-24,2013-10-10,,5.00
2013-05-26 - 2019-02-24,2013-10-11,,5.00
2013-05-26 - 2019-02-24,2013-10-12,,5.00
2013-05-26 - 2019-02-24,2013-10-13,,5.00
2013-05-26 - 2019-02-24,2013-10-14,,5.00
2013-05-26 - 2019-02-24,2013-10-15,,5.00
2013-05-26 - 2019-02-24,2013-10-16,,5.00
2013-05-26 - 2019-02-24,2013-10-17,,5.00
2013-05-26 - 2019-02-24,2013-10-18,,5.00
2013-05-26 - 2019-02-24,2013-10-19,,5.00
2013-05-26 - 2019-02-24,2013-10-20,,5.00
2013-05-26 - 2019-02-24,2013-10-21,,5.00
2013-05-26 - 2019-02-24,2013-10-22,,5.00
2013-05-26 - 2019-02-24,2013-10-23,,5.00
2013-05-26 - 2019-02-24,2013-10-24,,5.00
2013-05-26 - 2019-02-24,2013-10-25,,5.00
2013-05-26 - 2019-02-24,2013-10-26,,5.00
2013-05-26 - 2019-02-24,2013-10-27,,5.00
2013-05-26 - 2019-02-24,2013-10-28,,5.00
2013-05-26 - 2019-02-24,2013-10-29,,5.00
2013-05-26 - 2019-02-24,2013-10-30,,5.00
2013-05-26 - 2019-02-24,2013-10-31,,5.00
2013-05-26 - 2019-02-24,2013-11-01,,5.00
2013-05-26 - 2019-02-24,2013-11-02,,5.00
2013-05-26 - 2019-02-24,2013-11-03,,5.00
2013-05-26 - 2019-02-24,2013-11-04,,5.00
2013-05-26 - 2019-02-24,2013-11-05,,5.00
2013-05-26 - 2019-02-24,2013-11-06,,5.00
2013-05-26 - 2019-02-24,2013-11-07,,5.00
2013-05-26 - 2019-02-24,2013-11-08,,5.00
2013-05-26 - 2019-02-24,2013-11-09,,5.00
2013-05-26 - 2019-02-24,2013-11-10,,5.00
2013-05-26 - 2019-02-24,2013-11-11,,5.00
2013-05-26 - 2019-02-24,2013-11-12,,5.00
2013-05-26 - 2019-02-24,2013-11-13,,5.00
2013-05-26 - 2019-02-24,2013-11-14,,5.00
2013-05-26 - 2019-02-24,2013-11-15,,5.00
2013-05-26 - 2019-02-24,2013-11-16,,5.00
2013-05-26 - 2019-02-24,2013-11-17,,5.00
2013-05-26 - 2019-02-24,2013-11-18,,5.00
2013-05-26 - 2019-02-24,2013-11-19,,5.00
2013-05-26 - 2019-02-24,2013-11-20,,5.00
2013-05-26 - 2019-02-24,2013-11-21,,5.00
2013-05-26 - 2019-02-24,2013-11-22,,5.00
2013-05-26 - 2019-02-24,2013-11-23,,5.00
2013-05-26 - 2019-02-24,2013-11-24,,5.00
2013-05-26 - 2019-02-24,2013-11-25,,5.00
2013-05-26 - 2019-02-24,2013-11-26,,5.00
2013-05-26 - 2019-02-24,2013-11-27,,5.00
2013-05-26 - 2019-02-24,2013-11-28,,5.00
2013-05-26 - 2019-02-24,2013-11-29,,5.00
2013-05-26 - 2019-02-24,2013-11-30,,5.00
2013-05-26 - 2019-02-24,2013-12-01,,5.00
2013-05-26 - 2019-02-24,2013-12-02,,5.00
2013-05-26 - 2019-02-24,2013-12-03,,5.00
2013-05-26 - 2019-02-24,2013-12-04,,5.00
2013-05-26 - 2019-02-24,2013-12-05,,5.00
2013-05-26 - 2019-02-24,2013-12-06,,5.00
2013-05-26 - 2019-02-24,2013-12-07,,5.00
2013-05-26 - 2019-02-24,2013-12-08,,5.00
2013-05-26 - 2019-02-24,2013-12-09,,5.00
2013-05-26 - 2019-02-24,2013-12-10,,5.00
2013-05-26 - 2019-02-24,2013-12-11,,4.73
2013-05-26 - 2019-02-24,2013-12-12,,4.73
2013-05-26 - 2019-02-24,2013-12-13,,4.73
2013-05-26 - 2019-02-24,2013-12-14,,4.75
2013-05-26 - 2019-02-24,2013-12-15,,4.75
2013-05-26 - 2019-02-24,2013-12-16,,4.77
2013-05-26 - 2019-02-24,2013-12-17,,4.64
2013-05-26 - 2019-02-24,2013-12-18,,4.67
2013-05-26 - 2019-02-24,2013-12-19,,4.69
2013-05-26 - 2019-02-24,2013-12-20,,4.69
2013-05-26 - 2019-02-24,2013-12-21,,4.65
2013-05-26 - 2019-02-24,2013-12-22,,4.67
2013-05-26 - 2019-02-24,2013-12-23,,4.68
2013-05-26 - 2019-02-24,2013-12-24,,4.70
2013-05-26 - 2019-02-24,2013-12-25,,4.70
2013-05-26 - 2019-02-24,2013-12-26,,4.73
2013-05-26 - 2019-02-24,2013-12-27,,4.73
2013-05-26 - 2019-02-24,2013-12-28,,4.75
2013-05-26 - 2019-02-24,2013-12-29,,4.75
2013-05-26 - 2019-02-24,2013-12-30,,4.75
2013-05-26 - 2019-02-24,2013-12-31,,4.75
2013-05-26 - 2019-02-24,2014-01-01,,4.75
2013-05-26 - 2019-02-24,2014-01-02,,4.75
2013-05-26 - 2019-02-24,2014-01-03,,4.69
2013-05-26 - 2019-02-24,2014-01-04,,4.70
2013-05-26 - 2019-02-24,2014-01-05,,4.71
2013-05-26 - 2019-02-24,2014-01-06,,4.71
2013-05-26 - 2019-02-24,2014-01-07,,4.72
2013-05-26 - 2019-02-24,2014-01-08,,4.70
2013-05-26 - 2019-02-24,2014-01-09,,4.70
2013-05-26 - 2019-02-24,2014-01-10,,4.71
2013-05-26 - 2019-02-24,2014-01-11,,4.72
2013-05-26 - 2019-02-24,2014-01-12,,4.69
2013-05-26 - 2019-02-24,2014-01-13,,4.61
2013-05-26 - 2019-02-24,2014-01-14,,4.61
2013-05-26 - 2019-02-24,2014-01-15,,4.62
2013-05-26 - 2019-02-24,2014-01-16,,4.63
2013-05-26 - 2019-02-24,2014-01-17,,4.63
2013-05-26 - 2019-02-24,2014-01-18,,4.63
2013-05-26 - 2019-02-24,2014-01-19,,4.66
2013-05-26 - 2019-02-24,2014-01-20,,4.57
2013-05-26 - 2019-02-24,2014-01-21,,4.57
2013-05-26 - 2019-02-24,2014-01-22,,4.57
2013-05-26 - 2019-02-24,2014-01-23,,4.55
2013-05-26 - 2019-02-24,2014-01-24,,4.55
2013-05-26 - 2019-02-24,2014-01-25,,4.55
2013-05-26 - 2019-02-24,2014-01-26,,4.56
2013-05-26 - 2019-02-24,2014-01-27,,4.55
2013-05-26 - 2019-02-24,2014-01-28,,4.54
2013-05-26 - 2019-02-24,2014-01-29,,4.54
2013-05-26 - 2019-02-24,2014-01-30,,4.54
2013-05-26 - 2019-02-24,2014-01-31,,4.55
2013-05-26 - 2019-02-24,2014-02-01,,4.55
2013-05-26 - 2019-02-24,2014-02-02,,4.55
2013-05-26 - 2019-02-24,2014-02-03,,4.55
2013-05-26 - 2019-02-24,2014-02-04,,4.55
2013-05-26 - 2019-02-24,2014-02-05,,4.55
2013-05-26 - 2019-02-24,2014-02-06,,4.55
2013-05-26 - 2019-02-24,2014-02-07,,4.55
2013-05-26 - 2019-02-24,2014-02-08,,4.56
2013-05-26 - 2019-02-24,2014-02-09,,4.56
2013-05-26 - 2019-02-24,2014-02-10,,4.56
2013-05-26 - 2019-02-24,2014-02-11,,4.56
2013-05-26 - 2019-02-24,2014-02-12,,4.55
2013-05-26 - 2019-02-24,2014-02-13,,4.52
2013-05-26 - 2019-02-24,2014-02-14,,4.52
2013-05-26 - 2019-02-24,2014-02-15,,4.54
2013-05-26 - 2019-02-24,2014-02-16,,4.54
2013-05-26 - 2019-02-24,2014-02-17,,4.55
2013-05-26 - 2019-02-24,2014-02-18,,4.55
2013-05-26 - 2019-02-24,2014-02-19,,4.55
2013-05-26 - 2019-02-24,2014-02-20,,4.55
2013-05-26 - 2019-02-24,2014-02-21,,4.55
2013-05-26 - 2019-02-24,2014-02-22,,4.55
2013-05-26 - 2019-02-24,2014-02-23,,4.55
2013-05-26 - 2019-02-24,2014-02-24,,4.55
2013-05-26 - 2019-02-24,2014-02-25,,4.55
2013-05-26 - 2019-02-24,2014-02-26,,4.55
2013-05-26 - 2019-02-24,2014-02-27,,4.55
2013-05-26 - 2019-02-24,2014-02-28,,4.55
2013-05-26 - 2019-02-24,2014-03-01,,4.54
2013-05-26 - 2019-02-24,2014-03-02,,4.54
2013-05-26 - 2019-02-24,2014-03-03,,4.54
2013-05-26 - 2019-02-24,2014-03-04,,4.55
2013-05-26 - 2019-02-24,2014-03-05,,4.55
2013-05-26 - 2019-02-24,2014-03-06,,4.55
2013-05-26 - 2019-02-24,2014-03-07,,4.55
2013-05-26 - 2019-02-24,2014-03-08,,4.55
2013-05-26 - 2019-02-24,2014-03-09,,4.54
2013-05-26 - 2019-02-24,2014-03-10,,4.55
2013-05-26 - 2019-02-24,2014-03-11,,4.55
2013-05-26 - 2019-02-24,2014-03-12,,4.55
2013-05-26 - 2019-02-24,2014-03-13,,4.55
2013-05-26 - 2019-02-24,2014-03-14,,4.55
2013-05-26 - 2019-02-24,2014-03-15,,4.55
2013-05-26 - 2019-02-24,2014-03-16,,4.55
